THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
default,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
1star,1-Star Hotel,1-Star Hotels,Hotel,Hotels,property_type,1_Star_Hotels
2star,2-Star Hotel,2-Star Hotels,Hotel,Hotels,property_type,2_Star_Hotels
3star,3-Star Hotel,3-Star Hotels,Hotel,Hotels,property_type,3_Star_Hotels
4star,4-Star Hotel,4-Star Hotels,Hotel,Hotels,property_type,4_Star_Hotels
5star,5-Star Hotel,5-Star Hotels,Hotel,Hotels,property_type,5_Star_Hotels
1_star,1-Star Hotel,1-Star Hotels,Hotel,Hotels,property_type,1_Star_Hotels
2_star,2-Star Hotel,2-Star Hotels,Hotel,Hotels,property_type,2_Star_Hotels
3_star,3-Star Hotel,3-Star Hotels,Hotel,Hotels,property_type,3_Star_Hotels
4_star,4-Star Hotel,4-Star Hotels,Hotel,Hotels,property_type,4_Star_Hotels
5_star,5-Star Hotel,5-Star Hotels,Hotel,Hotels,property_type,5_Star_Hotels
5star|hotel|nearme,5-Star Hotel near You,5-Star Hotels near You,Hotel,Hotels,property_type,5StarHotelsnear
accessible,Accessible Hotel,Accessible Hotels,Hotel,Hotels,property_type,AccessibleHotel
accommodation|coupon,Accommodation Coupon,Accommodation Coupons,Accommodation,Accommodation,property_type,Accomm_Coupons
accommodation|deal,Accommodation Deal,Accommodation Deals,Accommodation,Accommodation,property_type,AccommodatDeals
accommodation|discount,Accommodation Discount,Accommodation Discounts,Accommodation,Accommodation,property_type,AccommodatDisc
accommodation,Accommodation,Accommodation,Accommodation,Accommodation,property_type,Accommodation
accomodation,Accommodation,Accommodation,Accommodation,Accommodation,property_type,Accommodation
accommodation|near,Accommodation,Accommodation,Accommodation,Accommodation,property_type,Accommodation
accommodation|nearme,Accommodation near You,Accommodation near You,Accommodation,Accommodation,property_type,Accommodation
accommodation|booking,Accommodation,Accommodation,Accommodation,Accommodation,property_type,Accommodation
adultonly,Adult-Only Hotel,Adult-Only Hotels,Hotel,Hotels,property_type,AdultOnlyHotels
affordable|allinclusive|resort,Affordable All-Inclusive Resort,Affordable All-Inclusive Resorts,Resort,Resorts,property_type,AffAllIncResort
accommodation|affordable,Affordable Accommodation,Affordable Accommodation,Accommodation,Accommodation,property_type,Afford_Accomm
affordable,Affordable Hotel,Affordable Hotels,Hotel,Hotels,property_type,AffordableHotel
agrotourist,Agrotourist Hotel,Agrotourist Hotels,Hotel,Hotels,property_type,Agrotourist
accommodation|airport,Accommodation,Accommodation,Accommodation,Accommodation,property_type,Airport_Accomm
airport|hotel,Hotel,Hotels,Hotel,Hotels,property_type,Airport_Hotels
freeairporttransportation,Hotel with Free Airport Transportation,Hotels with Free Airport Transportation,Hotel,Hotels,property_type,Airport_Trans
albergo,Albergo,Albergos,Albergo,Albergos,property_type,Albergos
accommodation|allinclusive,All-Inclusive Accommodation,All-Inclusive Accommodation,Accommodation,Accommodation,property_type,All_Incl_Accomm
allinclusive,All-Inclusive Hotel,All-Inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusive,All-Inclusive Hotel,All-Inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusives,All-Inclusive Hotel,All-Inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
allinclusive|hotel,All-Inclusive Hotel,All-Inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusive|hotel,All-Inclusive Hotel,All-Inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
hotel_all_inclusive,All-Inclusive Hotel,All-Inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusive_hotel,All-Inclusive Hotel,All-Inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
allinclusive|resort,All-Inclusive Resort,All-Inclusive Resorts,Resort,Resorts,property_type,All_Incl_Resort
all_inclusive|resort,All-Inclusive Resort,All-Inclusive Resorts,Resort,Resorts,property_type,All_Incl_Resort
all_inclusive_resort,All-Inclusive Resort,All-Inclusive Resorts,Resort,Resorts,property_type,All_Incl_Resort
resort_all_inclusive,All-Inclusive Resort,All-Inclusive Resorts,Resort,Resorts,property_type,All_Incl_Resort
allinclusive|couple|resort,All-Inclusive Resort,All-Inclusive Couples Resorts,Resort,Resorts,property_type,AllIncCoupleRes
