THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
default,Hotel,Hoteles,Hotel,Hoteles,property_type,Hoteles
1star,Hotel de 1 estrella,Hoteles de 1 estrella,Hotel,Hoteles,property_type,Hoteles_1_Estr
2star,Hotel de 2 estrellas,Hoteles de 2 estrellas,Hotel,Hoteles,property_type,Hoteles_2_Estr
3star,Hotel de 3 estrellas,Hoteles de 3 estrellas,Hotel,Hoteles,property_type,Hoteles_3_Estr
4star,Hotel de 4 estrellas,Hoteles de 4 estrellas,Hotel,Hoteles,property_type,Hoteles_4_Estr
5star,Hotel de 5 estrellas,Hoteles de 5 estrellas,Hotel,Hoteles,property_type,Hoteles_5_Estr
1_star,Hotel de 1 estrella,Hoteles de 1 estrella,Hotel,Hoteles,property_type,Hoteles_1_Estr
2_star,Hotel de 2 estrellas,Hoteles de 2 estrellas,Hotel,Hoteles,property_type,Hoteles_2_Estr
3_star,Hotel de 3 estrellas,Hoteles de 3 estrellas,Hotel,Hoteles,property_type,Hoteles_3_Estr
4_star,Hotel de 4 estrellas,Hoteles de 4 estrellas,Hotel,Hoteles,property_type,Hoteles_4_Estr
5_star,Hotel de 5 estrellas,Hoteles de 5 estrellas,Hotel,Hoteles,property_type,Hoteles_5_Estr
5star|hotel|nearme,Hotel de 5 estrellas cerca de ti,Hoteles de 5 estrellas cerca de ti,Hotel,Hoteles,property_type,Hoteles5EstrCer
accessible,Hotel accesible,Hoteles accesibles,Hotel,Hoteles,property_type,HotelAccesible
accommodation|coupon,Cupón de alojamiento,Cupones de alojamiento,Alojamiento,Alojamiento,property_type,Cupones_Alojam
accommodation|deal,Oferta de alojamiento,Ofertas de alojamiento,Alojamiento,Alojamiento,property_type,OfertasAlojam
accommodation|discount,Descuento de alojamiento,Descuentos de alojamiento,Alojamiento,Alojamiento,property_type,DescAlojamiento
accommodation,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
accomodation,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
accommodation|near,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
accommodation|nearme,Alojamientos cerca de ti,Alojamientos cerca de ti,Alojamiento,Alojamiento,property_type,Alojamiento
accommodation|booking,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
adultonly,Hotel solo adultos,Hoteles solo adultos,Hotel,Hoteles,property_type,HotelSoloAdult
affordable|allinclusive|resort,Complejo turístico asequible todo incluido,Complejos turísticos asequibles todo incluido,Complejo turístico,Complejos turísticos,property_type,CompTurAseqTI
accommodation|affordable,Alojamiento asequible,Alojamiento asequible,Alojamiento,Alojamiento,property_type,Aloj_asequible
affordable,Hotel asequible,Hoteles asequibles,Hotel,Hoteles,property_type,HotelAsequible
agrotourist,Hotel de agroturismo,Hoteles de agroturismo,Hotel,Hoteles,property_type,Agroturismo
accommodation|airport,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojam_Aerop
airport|hotel,Hotel de aeropuerto,Hoteles de aeropuerto,Hotel,Hoteles,property_type,Hotel_Aeropuert
freeairporttransportation,Hotel con transporte al aeropuerto gratuito,Hoteles con transporte al aeropuerto gratuito,Hotel,Hoteles,property_type,Aerop_Transport
albergo,Albergo,Albergos,Albergo,Albergos,property_type,Albergos
accommodation|allinclusive,Alojamiento todo incluido,Alojamiento todo incluido,Alojamiento,Alojamiento,property_type,Aloj_Todo_Incl
allinclusive,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
all_inclusive,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
all_inclusives,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
allinclusive|hotel,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
all_inclusive|hotel,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
hotel_all_inclusive,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_In
all_inclusive_hotel,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_In
allinclusive|resort,Complejo turístico todo incluido,Complejos turísticos todo incluido,Complejo turístico,Complejos turísticos,property_type,Complej_todo_in
all_inclusive|resort,Complejo turístico todo incluido,Complejos turísticos todo incluido,Complejo turístico,Complejos turísticos,property_type,Complej_todo_in
all_inclusive_resort,Complejo turístico todo incluido,Complejos turísticos todo incluido,Complejo turístico,Complejos turísticos,property_type,Complej_Todo_In
