THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
hostel,Auberge,Auberges,Auberge,Auberges,property_type,Auberges
2_star,Hôtel 2-Étoiles,Hôtels 2-Étoiles,Hôtel,Hôtels,property_type,Hôtels_2Étoiles
3_star,Hôtel 3-Étoiles,Hôtels 3-Étoiles,Hôtel,Hôtels,property_type,Hôtels_3Étoiles
4_star,Hôtel 4-Étoiles,Hôtels 4-Étoiles,Hôtel,Hôtels,property_type,Hôtels_4Étoiles
5_star,Hôtel 5-Étoiles,Hôtels 5-Étoiles,Hôtel,Hôtels,property_type,Hôtels_5Étoiles
romantic,Hôtel Romantique,Hôtels Romantiques,Hôtel,Hôtels,property_type,HôtelRomantique
1_star,Hôtel 1 étoile,Hôtels 1 étoile,Hôtel,Hôtels,property_type,Hôtels_1_étoile
1star,Hôtel 1 étoile,Hôtels 1 étoile,Hôtel,Hôtels,property_type,Hôtels_1_étoile
5star|hotel|nearme,Hôtels 5 étoiles autour de vous,Hôtels 5 étoiles autour de vous,Hôtel,Hôtels,property_type,Hôtel5étproch
5star|resort,Complexe touristique 5 étoiles,Complexes touristiques 5 étoiles,Complexe,Complexes,property_type,Compl_5_Étoiles
accessible,Hôtel accessible aux personnes handicapées,Hôtels accessibles aux personnes handicapées,Hôtel,Hôtels,property_type,HôtelAccessible
accommodation,Hébergement,Hébergement,Hébergement,Hébergement,property_type,Hébergement
accommodation|affordable,Hébergement abordable,Hébergement abordable,Hébergement,Hébergement,property_type,HébergAbord
accommodation|airport,Hébergement,Hébergement,Hébergement,Hébergement,property_type,Héberg_Aéro
accommodation|allinclusive,Hébergement tout compris,Hébergement tout compris,Hébergement,Hébergement,property_type,Héberg_Tout_Com
accommodation|bargain,Remise sur l’hébergement,Remises sur les hébergements,Hébergement,Hébergement,property_type,Remis-Héberg
accommodation|booking,Hébergement,Hébergement,Hébergement,Hébergement,property_type,Hébergement
accommodation|budget,Hébergement économique,Hébergement économique,Hébergement,Hébergement,property_type,Héber_Éco
accommodation|cheap,Hébergement pas cher,Hébergement pas cher,Hébergement,Hébergement,property_type,Héb_Abordable
accommodation|cheap|lastminute,Hébergement de dernière minute pas cher,Hébergement de dernière minute pas cher,Hébergement,Hébergement,property_type,HébDernMinAbor
accommodation|cheapest,Hébergement le moins cher,Hébergement le moins cher,Hébergement,Hébergement,property_type,HébergAbordable
accommodation|coupon,Bon de réduction hébergement,Bons de réduction hébergements,Hébergement,Hébergement,property_type,Bons_Hébergemen
accommodation|deal,Offre sur l’hébergement,Offres sur les hébergements,Hébergement,Hébergement,property_type,OffrHéberg
accommodation|deal|lastminute,Offre de dernière minute sur l’hébergement,Offres de dernière minute sur l’hébergement,Hébergement,Hébergement,property_type,OffreDernminHéb
accommodation|deal|offer,Offres et promotions sur l’hébergement,Offres et promotions sur l’hébergement,Hébergement,Hébergement,property_type,OffrePromoHéber
accommodation|discount,Réduction hébergement,Réductions hébergements,Hébergement,Hébergement,property_type,RéducHéberg
accommodation|familyfriendly,Hébergement idéal pour les familles,Hébergement idéal pour les familles,Hébergement,Hébergement,property_type,Héberg_Famille
accommodation|hotel,Hébergement hôtels,Hébergement hôtels,Hébergement hôtels,Hébergement hôtels,property_type,HébergHôtels
accommodation|lastminute,Hébergement de dernière minute,Hébergement de dernière minute,Hébergement,Hébergement,property_type,Héb_Dern_Min
accommodation|lowcost,Hébergement low-cost,Hébergement low-cost,Hébergement,Hébergement,property_type,Héb_Low_Cost
accommodation|near,Hébergement,Hébergement,Hébergement,Hébergement,property_type,Hébergement
accommodation|nearme,Hébergement autour de vous,Hébergement autour de vous,Hébergement,Hébergement,property_type,Hébergement
accommodation|petfriendly,Hébergement avec animaux,Hébergements avec animaux,Hébergement,Hébergements,property_type,Héberg_Animaux
accomodation,Hébergement,Hébergement,Hébergement,Hébergement,property_type,Hébergement
adult_only|all_inclusive|resort,Complexe touristique tout compris réservé aux adultes,Complexes touristiques tout compris réservés aux adultes,Complexe touristique,Complexes touristiques,property_type,CompAdSeulement
adultonly,Hôtel réservé aux adultes,Hôtels réservés aux adultes,Hôtel,Hôtels,property_type,HôtelsRésAdult
adventure,Hôtel pour les aventuriers,Hôtels pour les aventuriers,Hôtel,Hôtels,property_type,Hôtel_Aventure
affordable,Hôtel abordable,Hôtels abordables,Hôtel,Hôtels,property_type,HôtelAbord
affordable|allinclusive|resort,Complexe touristique tout compris pas cher,Complexes touristiques tout compris pas chers,Complexe touristique,Complexes touristiques,property_type,CompTourPasCher
agrotourist,Hôtel agrotourisme,Hôtels agrotourisme,Hôtel,Hôtels,property_type,Agrotourisme
airconditioning,Hôtel climatisé,Hôtels climatisés,Hôtel,Hôtels,property_type,Hôtels_Air_Clim
airport,Hôtel d'aéroport,Hôtels d'aéroport,Hôtel,Hôtels,property_type,Hôtels_Aéroport
airport|cheap,Hôtel pas cher,Hôtels pas chers,Hôtel,Hôtels,property_type,Hôtels_Aéroport
airport|hotel,Hôtel d'aéroport,Hôtels d'aéroport,Hôtel,Hôtels,property_type,Hôtels_Aéroport
airport|parking,Hôtel avec parking,Hôtels avec parking,Hôtel,Hôtels,property_type,Hôtels_Parking
airporttransportation,Hôtel avec transfert aéroport,Hôtels avec transfert aéroport,Hôtel,Hôtels,property_type,Hôtel_Trans_Aér
albergo,Hôtel Albergo,Hôtels Albergo,Hôtel Albergo,Hôtels Albergo,property_type,Hôtels_Albergo
all_inclusive,Hôtel tout compris,Hôtels tout compris,Hôtel,Hôtels,property_type,Hôtel_Tout_Com
all_inclusive_hotel,Hôtel tout compris,Hôtels tout compris,Hôtel,Hôtels,property_type,Hôtel_Tout_Com
all_inclusive|hotel,Hôtel tout compris,Hôtels tout compris,Hôtel,Hôtels,property_type,Hôtel_Tout_Com
all_inclusives,Hôtel tout compris,Hôtels tout compris,Hôtel,Hôtels,property_type,Hôtel_Tout_Com
allinclusive,Hôtel tout compris,Hôtels tout compris,Hôtel,Hôtels,property_type,Hôtel_Tout_Com
allinclusive|couple|resort,Complexe touristique tout compris,Complexe touristique tout compris pour couples,Complexe touristique,Complexes touristiques,property_type,ComTouCompCoupl
allinclusive|familyfriendly|resort,Complexe touristique tout compris pour familles,Complexes touristiques tout compris pour familles,Complexe touristique,Complexes touristiques,property_type,ComTouCompFamil
allinclusive|honeymoon|resort,Complexe touristique tout compris pour lune de miel,Complexes touristiques tout compris pour lune de miel,Complexe touristique,Complexes touristiques,property_type,ComTouCompLune
