THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
default,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
1star,1-Sterne-Hotel,1-Sterne-Hotels,Hotel,Hotels,property_type,1_Sterne_Hotels
2star,2-Sterne-Hotel,2-Sterne-Hotels,Hotel,Hotels,property_type,2_Sterne_Hotels
3star,3-Sterne-Hotel,3-Sterne-Hotels,Hotel,Hotels,property_type,3_Sterne_Hotels
4star,4-Sterne-Hotel,4-Sterne-Hotels,Hotel,Hotels,property_type,4_Sterne_Hotels
5star,5-Sterne-Hotel,5-Sterne-Hotels,Hotel,Hotels,property_type,5_Sterne_Hotels
1_star,1-Sterne-Hotel,1-Sterne-Hotels,Hotel,Hotels,property_type,1_Sterne_Hotels
2_star,2-Sterne-Hotel,2-Sterne-Hotels,Hotel,Hotels,property_type,2_Sterne_Hotels
3_star,3-Sterne-Hotel,3-Sterne-Hotels,Hotel,Hotels,property_type,3_Sterne_Hotels
4_star,4-Sterne-Hotel,4-Sterne-Hotels,Hotel,Hotels,property_type,4_Sterne_Hotels
5_star,5-Sterne-Hotel,5-Sterne-Hotels,Hotel,Hotels,property_type,5_Sterne_Hotels
5star|hotel|nearme,5-Sterne-Hotel in der Umgebung,5-Sterne-Hotels in der Umgebung,Hotel,Hotels,property_type,5SterneHotelsUmgebung
accessible,Barrierefreies Hotel,Barrierefreie Hotels,Hotel,Hotels,property_type,Barrierefrei
accommodation|coupon,Unterkunft Gutschein,Unterkunft Gutscheine,Unterkunft,Unterkunft,property_type,Unt_Gutscheine
accommodation|deal,Angebot für Unterkunft,Angebote für Unterkunft,Unterkunft,Unterkunft,property_type,UnterkAngebote
accommodation|discount,Unterkunft Rabatt,Unterkunft Rabatte,Unterkunft,Unterkunft,property_type,UnterkunftRab
accommodation,Unterkunft,Unterkunft,Unterkunft,Unterkunft,property_type,Unterkunft
accomodation,Unterkunft,Unterkunft,Unterkunft,Unterkunft,property_type,Unterkunft
accommodation|near,Unterkunft,Unterkunft,Unterkunft,Unterkunft,property_type,Unterkunft
accommodation|nearme,Unterkunft in der Nähe,Unterkunft in der Nähe,Unterkunft,Unterkunft,property_type,Unterkunft
accommodation|booking,Unterkunft,Unterkunft,Unterkunft,Unterkunft,property_type,Unterkunft
adultonly,Kinderfreies Hotel,Kinderfreie Hotels,Hotel,Hotels,property_type,KinderfreiHotel
affordable|allinclusive|resort,Günstiges All-inclusive-Resort,Günstige All-inclusive-Resorts,Resort,Resorts,property_type,GünsAllInResort
accommodation|affordable,Günstige Unterkunft,Günstige Unterkunft,Unterkunft,Unterkunft,property_type,Günstig_Unterk
affordable,Günstiges Hotel,Günstige Hotels,Hotel,Hotels,property_type,GünstigesHotel
agrotourist,Agrartourismushotel,Agrartourismushotels,Hotel,Hotels,property_type,Agrartourismus
accommodation|airport,Unterkunft,Unterkunft,Unterkunft,Unterkunft,property_type,Flughafen
airport|hotel,Flughafenhotel,Flughafenhotels,Hotel,Hotels,property_type,Flughafen_Hotel
freeairporttransportation,Hotel mit kostenlosem Flughafentransfer,Hotels mit kostenlosem Flughafentransfer,Hotel,Hotels,property_type,Flughafen_Trans
albergo,Albergo,Albergos,Albergo,Albergos,property_type,Albergos
accommodation|allinclusive,All-inclusive-Unterkunft ,All-inclusive-Unterkunft,Unterkunft,Unterkunft,property_type,All_Incl_Hotels
allinclusive,All-inclusive-Hotel,All-inclusive-Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusive,All-inclusive Hotel,All-inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusives,All-inclusive-Hotel,All-inclusive-Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
allinclusive|hotel,All-inclusive-Hotel,All-inclusive-Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusive|hotel,All-inclusive-Hotel,All-inclusive-Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
hotel_all_inclusive,All-inclusive-Hotel,All-inclusive Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
all_inclusive_hotel,All-inclusive Hotel,All-inclusive-Hotels,Hotel,Hotels,property_type,All_Incl_Hotels
allinclusive|resort,All-inclusive-Resort,All-inclusive-Resorts,Resort,Resorts,property_type,All_Incl_Resort
all_inclusive|resort,All-inclusive-Resort,All-inclusive-Resorts,Resort,Resorts,property_type,All_Incl_Resort
all_inclusive_resort,All-inclusive-Resort,All-inclusive-Resorts,Resort,Resorts,property_type,All_Incl_Resort
resort_all_inclusive,All-inclusive-Resort,All-inclusive-Resorts,Resort,Resorts,property_type,All_Incl_Resort
allinclusive|couple|resort,All-inclusive-Resort,All-inclusive-Resorts für Paare,Resort,Resorts,property_type,All_Incl_Resort
allinclusive|familyfriendly|resort,Familienfreundliches All-inclusive-Resort,Familienfreundliche All-inclusive-Resorts,Resort,Resorts,property_type,FamAllIncResort
allinclusive|honeymoon|resort,All-inclusive Flitterwochen-Resort,All-inclusive Flitterwochen-Resorts,Resort,Resorts,property_type,All_Incl_Resort
anniversary,Hotel zum Feiern von Jahrestagen,Hotels zum Feiern von Jahrestagen,Hotel,Hotels,property_type,Jahrestage
aparthotel,Aparthotel,Aparthotels,Aparthotel,Aparthotels,property_type,Aparthotels
aparthotels,Aparthotel,Aparthotels,Aparthotel,Aparthotels,property_type,Aparthotels
apartment,Apartment,Apartments,Apartment,Apartments,property_type,Apartments
archaeology,Hotel in der Nähe von Ausgrabungsstätten,Hotels in der Nähe von Ausgrabungsstätten,Hotel,Hotels,property_type,Archäologisches
backpacker,Backpacker-Hotel,Backpacker-Hotels,Hotel,Hotels,property_type,Backpack_Hotels
bargain,Schnäppchenhotel,Schnäppchenhotels,Hotel,Hotels,property_type,Hotels
accommodation|bargain,Schnäppchen bei Unterkunft,Schnäppchen bei Unterkunft,Unterkunft,Unterkünfte,property_type,Schnäppchen
beach,Strandhotel,Strandhotels,Hotel,Hotels,property_type,Strandhotel
bedbreakfast,Bed and Breakfast,Bed and Breakfasts,Bed and Breakfast,Bed and Breakfasts,property_type,BedandBreakfast
bed_breakfast,Bed and Breakfast,Bed and Breakfasts,Bed and Breakfast,Bed and Breakfasts,property_type,BedandBreakfast
bandb,Bed and Breakfast,Bed and Breakfasts,Bed and Breakfast,Bed and Breakfasts,property_type,BedandBreakfast
best|hotel,Bestes Hotel,Beste Hotels,Hotel,Hotels,property_type,Best_Hotels
best|deal|hotel,Bestes Hotelangebot,Beste Hotelangebote,Hotel,Hotels,property_type,Hotelangebote
blacksandbeach,Hotel in der Nähe von schwarzen Sandstränden,Hotels in der Nähe von schwarzen Sandstränden,Hotel,Hotels,property_type,SchwarzerStrand
boutique,Boutique-Hotel,Boutique-Hotels,Hotel,Hotels,property_type,Boutique_Hotels
accommodation|budget,Billige Unterkunft,Billige Unterkunft,Unterkunft,Unterkunft,property_type,Billig_Unterk
budget,Billiges Hotel,Billige Hotels,Hotel,Hotels,property_type,Billige_Hotels
budget|hotel,Billiges Hotel,Billige Hotels,Hotel,Hotels,property_type,Billige_Hotels
cabin,Ferienhütte,Ferienhütten,Ferienhütte,Ferienhütten,property_type,Ferienhütten
camping,Campingplatz,Campingplatz,Campingplatz,Campingplatz,property_type,Camping
capsule,Kapselhotel,Kapselhotels,Hotel,Hotels,property_type,Kapselhotels
caravanpark,Caravanpark,Caravanparks,Caravanpark,Caravanparks,property_type,Caravanparks
casino,Casino-Hotel,Casino-Hotels,Hotel,Hotels,property_type,Casino_Hotels
central,Zentrales Hotel,Zentrale Hotels,Hotel,Hotels,property_type,Zentrale_Hotels
chain,Hotel der Kette,Hotels der Kette,Hotel,Hotels,property_type,Hotels_Kette
chalet,Chalet,Chalets,Chalet,Chalets,property_type,Chalets
accommodation|cheap,Günstige Unterkunft,Günstige Unterkunft,Unterkunft,Unterkunft,property_type,Günstig_Unterk
cheap,Günstiges Hotel,Günstige Hotels,Hotel,Hotels,property_type,Günstige_Hotels
hotel_cheap,Günstiges Hotel,Günstige Hotels,Hotel,Hotels,property_type,Günstige_Hotels
cheap|hotel,Günstiges Hotel,Günstige Hotels,Hotel,Hotels,property_type,Günstige_Hotels
cheap|hotel|near,Günstiges Hotel in meiner Nähe,Günstige Hotels in meiner Nähe,Hotel,Hotels,property_type,Günstige_Hotels
cheap|resort,Günstiges Resort,Günstige Resorts,Resort,Resorts,property_type,Günstig_Resorts
cheapest|hotel,Billigstes Hotel,Billigste Hotels,Hotel,Hotels,property_type,Billigst_Hotels
accommodation|cheapest,Billigste Unterkunft,Billigste Unterkunft,Unterkunft,Unterkunft,property_type,BilligsteUnter
cheap|deal|hotel,Günstiges Hotelangebot,Günstige Hotelangebote,Hotel,Hotels,property_type,Hotelangebote
cheap|hotel|nearme,Günstiges Hotel in der Umgebung,Günstige Hotels in der Umgebung,Hotel,Hotels,property_type,Günstige_Hotels
cheap|hotel|suites,Günstige Hotelsuite,Günstige Hotelsuites,Hotelsuite,Hotelsuites,property_type,Hotelsuite
cheap|hotel|nearme|suites,Günstige Hotelsuite in der Umgebung,Günstige Hotelsuites in der Umgebung,Hotelsuite,Hotelsuites,property_type,Hotelsuites
accommodation|cheap|lastminute,Günstige Last Minute-Unterkunft,Günstige Last Minute-Unterkunft,Unterkunft,Unterkunft,property_type,GünstLastMinUnt
cheap|hotel|lastminute,Günstiges Last Minute-Hotel,Günstige Last Minute-Hotels,Hotel,Hotels,property_type,GünstLastMinHot
clean,Sauberes Hotel,Saubere Hotels,Hotel,Hotels,property_type,Saubere_Hotels
clearwaterbeach,Hotel nahe Strand mit klarem Wasser,Hotels nahe Strand mit klarem Wasser,Hotel,Hotels,property_type,StrandKlarWass
clubhouse,Clubhaus,Clubhäuser,Clubhaus,Clubhäuser,property_type,Clubhäuser
condo,Apartmenthotel,Apartmenthotels,Apartmenthotel,Apartmenthotels,property_type,Apartmenthotels
connectingrooms,Hotel mit Verbindungszimmer,Hotels mit Verbindungszimmer,Hotel,Hotels,property_type,Verbindungszimmer
cottage,Ferienhaus,Cottages,Ferienhaus,Cottages,property_type,Cottages
countryhouse,Landhaus,Landhäuser,Landhaus,Landhäuser,property_type,Landhäuser
countryside,Hotel auf dem Land,Hotels auf dem Land,Hotel,Hotels,property_type,Land
crosscountryskiing,Hotel mit Skilanglauf in der Umgebung,Hotels mit Skilanglauf in der Umgebung,Hotel,Hotels,property_type,Skilanglauf
deal|hotel|secluded,Angebot für abgelegene Hotels,Angebote für abgelegene Hotels,Hotel,Hotels,property_type,Angebot_Hotel
discount|hotel|suites,Rabatt auf Hotelsuites,Rabatte auf Hotelsuites,Hotelsuite,Hotelsuites,property_type,RabHotelsuites
dormitory,Schlafsaal,Schlafsäle,Schlafsaal,Schlafsäle,property_type,Schlafsäle
earlycheckin,Hotel mit frühem Check-in,Hotels mit frühem Check-in,Hotel,Hotels,property_type,Früher_Check_In
ecofriendly,Umweltfreundliches Hotel,Umweltfreundliche Hotels,Hotel,Hotels,property_type,UmweltHotels
eventfriendly,Hotel für erfolgreiche Veranstaltungen,Hotels für erfolgreiche Veranstaltungen,Hotel,Hotels,property_type,Veranstaltungen
extendedstay,Hotel für längere Aufenthalte,Hotels für längere Aufenthalte,Hotel,Hotels,property_type,Hotels
extended_stay,Hotel für längere Aufenthalte,Hotels für längere Aufenthalte,Hotel,Hotels,property_type,Hotels
accommodation|familyfriendly,Familienfreundliche Unterkunft,Familienfreundliche Unterkünfte,Unterkunft,Unterkünfte,property_type,Familien_Unterk
familyfriendly,Familienfreundliches Hotel,Familienfreundliche Hotels,Hotel,Hotels,property_type,Familienhotels
kidfriendly,Kinderfreundliches Hotel,Kinderfreundliche Hotels,Hotel,Hotels,property_type,Familienhotels
familyfriendly|hotel,Familienfreundliches Hotel,Familienfreundliche Hotels,Hotel,Hotels,property_type,Familienhotels
farmstay,Bauernhof,Bauernhöfe,Bauernhof,Bauernhöfe,property_type,Bauernhöfe
flat,Wohnung,Wohnungen,Wohnung,Wohnungen,property_type,Wohnungen
glamping,Glamping,Glamping,Glamping,Glamping,property_type,Glamping
guesthouse,Pension,Pensionen,Pension,Pensionen,property_type,Pensionen
healthclub,Hotel mit Fitnesscenter,Hotels mit Fitnesscenter,Hotel,Hotels,property_type,Fitnesscenter
historical,Historisches Hotel,Historische Hotels,Hotel,Hotels,property_type,HistorischHotel
homestay,Privatunterkunft,Privatunterkünfte,Privatunterkunft,Privatunterkünfte,property_type,Privatunterkünfte
honeymoon,Flitterwochen-Hotel,Flitterwochen-Hotels,Hotel,Hotels,property_type,Flitterwochen
hostel,Hostel,Hostel,Hostel,Hostel,property_type,Hostel
adventure,Hotel für Abenteuerlustige,Hotels für Abenteuerlustige,Hotel,Hotels,property_type,Hotel_Abenteuer
airporttransportation,Hotel mit Flughafentransfer,Hotels mit Flughafentransfer,Hotel,Hotels,property_type,Hotel_Flug_Tran
aquarium,Hotel mit Aquarium in der Umgebung,Hotels mit Aquarien in der Umgebung,Hotel,Hotels,property_type,Hotel_Aquarium
arcade,Hotel mit Spielhalle in der Umgebung,Hotels mit Spielhallen in der Umgebung,Hotel,Hotels,property_type,Hotel_Spielhall
architecture,Architektonisch bemerkenswertes Hotel,Architektonisch bemerkenswerte Hotels ,Hotel,Hotels,property_type,Hotel_Architekt
birdwatching,Hotel mit Vogelbeobachtung in der Umgebung,Hotels mit Vogelbeobachtung in der Umgebung,Hotel,Hotels,property_type,Hotel_Vogelbeob
breakfast,Hotel mit Frühstück,Hotels mit Frühstück,Hotel,Hotels,property_type,Hotel_Frühstück
freebreakfast,Hotel mit kostenlosem Frühstück,Hotels mit kostenlosem Frühstück,Hotel,Hotels,property_type,Hotel_Frühstück
catering,Hotel mit Catering,Hotels mit Catering,Hotel,Hotels,property_type,Hotel_Catering
babysitting,Hotel mit Babysitter,Hotels mit Babysitter,Hotel,Hotels,property_type,HotelBabysitter
chocolate,Hotel mit Chocolaterien in der Umgebung,Hotels mit Chocolaterien in der Umgebung,Hotel,Hotels,property_type,Hotel_Schokolad
christmas,Hotel für die Weihnachtszeit,Hotels für die Weihnachtszeit,Hotel,Hotels,property_type,Hotel_Weihnacht
concierge,Hotel mit Concierge,Hotels mit Concierge,Hotel,Hotels,property_type,Hotel_Concierge
coupon|hotel,Hotelgutschein,Hotelgutscheine,Hotel,Hotels,property_type,Hotelgutscheine
deal,Hotelangebot,Hotelangebote,Hotel,Hotels,property_type,Hotel_Angebote
deals,Hotelangebot,Hotelangebote,Hotel,Hotels,property_type,Hotel_Angebote
hotel_deal,Hotelangebot,Hotelangebote,Hotel,Hotels,property_type,Hotel_Angebote
deal|hotel,Hotelangebot,Hotelangebote,Hotel,Hotels,property_type,Hotel_Angebote
discount,Hotelrabatt,Hotelrabatte,Hotel,Hotels,property_type,Hotel_Rabatt
discount|hotel,Hotelrabatt,Hotelrabatte,Hotel,Hotels,property_type,Hotel_Rabatt
entertainment,Hotel mit Freizeitangeboten in der Umgebung,Hotels mit Freizeitangeboten in der Umgebung,Hotel,Hotels,property_type,Hotel_Freizeit
familybeach,Hotel in der Nähe eines familienfreundlichen Strandes,Hotels in der Nähe von familienfreundlichen Stränden,Hotel,Hotels,property_type,Hotel_Fam_Stran
fireplace,Hotel mit Kamin,Hotels mit Kaminen,Hotel,Hotels,property_type,Hotel_Kamin
freeparking,Hotel mit kostenlosem Parkplatz,Hotels mit kostenlosem Parkplatz,Hotel,Hotels,property_type,Hotel_Frei_Park
freeinternet,Hotel mit kostenlosem Internet,Hotels mit kostenlosem Internet,Hotel,Hotels,property_type,Hotel_Frei_WLAN
freewifi,Hotel mit kostenlosem WLAN,Hotels mit kostenlosem WLAN,Hotel,Hotels,property_type,Hotel_Frei_WLAN
hottub,Hotel mit Whirlpool,Hotels mit Whirlpool,Hotel,Hotels,property_type,Hotel_Whirlpool
iceskating,Hotel mit Eislaufen in der Umgebung,Hotels mit Eislaufen in der Umgebung,Hotel,Hotels,property_type,Hotel_Eislaufen
kitchen,Hotel mit Küche,Hotels mit Küchen,Hotel,Hotels,property_type,Hotel_Küche
microwave,Hotel mit Mikrowelle,Hotels mit Mikrowellen,Hotel,Hotels,property_type,Hotel_Mikrowell
monuments,Hotel in der Nähe von Denkmälern,Hotels in der Nähe von Denkmälern,Hotel,Hotels,property_type,Hotel_Denkmäler
mountain,Hotel in Bergnähe,Hotels in Bergnähe,Hotel,Hotels,property_type,Hotel_Berge
golf,Hotel in der Nähe von einem Golfplatz,Hotels in der Nähe von Golfplätzen,Hotel,Hotels,property_type,Hotel_Nähe_Golf
offer,Hotelangebot,Hotelangebote,Hotel,Hotels,property_type,Hotel_Angebote
parking,Hotel mit Parkplatz,Hotels mit Parkplatz,Hotel,Hotels,property_type,Hotel_Parkplatz
pebblebeach,Hotel in der Nähe von Kiesstränden,Hotels in der Nähe von Kiesstränden,Hotel,Hotels,property_type,Hotel_Kies
price,Hotelpreis,Hotelpreise,Hotel,Hotels,property_type,Hotel_Preise
promo,Hotelangebot,Hotelangebote,Hotel,Hotels,property_type,Hotel_Angebote
rating,Hotelbewertung,Hotelbewertungen,Hotel,Hotels,property_type,Hotel_Bewertung
skydiving,Hotel mit Fallschirmspringen der Nähe,Hotels mit Fallschirmspringen der Nähe,Hotel,Hotels,property_type,HotelFallschirm
snowboarding,Hotel mit Snowboarding in der Nähe,Hotels mit Snowboarding in der Nähe,Hotel,Hotels,property_type,Hotel_Snowboard
stay,Hotelaufenthalt,Hotelaufenthalte,Hotel,Hotels,property_type,HotelAufenthalt
hotel|suites,Hotelsuite,Hotelsuites,Hotelsuite,Hotelsuites,property_type,Hotel_Suites
booking|hotel|suites,Hotelsuite,Hotelsuites,Hotelsuite,Hotelsuites,property_type,Hotel_Suites
themepark,Hotel in der Nähe von Themenparks,Hotels in der Nähe von Themenparks,Hotel,Hotels,property_type,Hotel_Park
volcanoes,Hotel in der Nähe von Vulkanen,Hotels in der Nähe von Vulkanen,Hotel,Hotels,property_type,Hotel_Vulkane
waterskiing,Hotel mit Wasserkifahren in der Nähe,Hotels mit Wasserkifahren in der Nähe,Hotel,Hotels,property_type,Hotel_Wasserski
waterfalls,Hotel in der Nähe von Wasserfällen,Hotels in der Nähe von Wasserfällen,Hotel,Hotels,property_type,Hotel_Wasserfall
waterpark,Hotel in der Nähe von Wasserparks,Hotels in der Nähe von Wasserparks,Hotel,Hotels,property_type,Hotel_Wasserpark
cafes,Hotel mit Cafe,Hotels mit Cafes,Hotel,Hotels,property_type,Hotel_mit_Cafe
fitnesscenter,Hotel mit Fitnessbereich,Hotels mit Fitnessbereichen,Hotel,Hotels,property_type,Hotel_Fitness
petfriendly,Haustierfreundliches Hotel,Haustierfreundliche Hotels,Hotel,Hotels,property_type,Hotels
