THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
1_star,Hotel 1 stella,Hotel 1 stella,Hotel,Hotel,property_type,Hotel_1_stella
1star,Hotel 1 stella,Hotel 1 stella,Hotel,Hotel,property_type,Hotel_1_stella
2_star,Hotel 2 stelle,Hotel 2 stelle,Hotel,Hotel,property_type,Hotel_2_stelle
2star,Hotel 2 stelle,Hotel 2 stelle,Hotel,Hotel,property_type,Hotel_2_stelle
3_star,Hotel 3 stelle,Hotel 3 stelle,Hotel,Hotel,property_type,Hotel_3_stelle
3star,Hotel 3 stelle,Hotel 3 stelle,Hotel,Hotel,property_type,Hotel_3_stelle
4_star,Hotel 4 stelle,Hotel 4 stelle,Hotel,Hotel,property_type,Hotel_4_stelle
4star,Hotel 4 stelle,Hotel 4 stelle,Hotel,Hotel,property_type,Hotel_4_stelle
5_star,Hotel 5 stelle,Hotel 5 stelle,Hotel,Hotel,property_type,Hotel_5_stelle
5star,Hotel 5 stelle,Hotel 5 stelle,Hotel,Hotel,property_type,Hotel_5_stelle
5star|hotel|nearme,Hotel 5 stelle vicino a te,Hotel 5 stelle vicino a te,Hotel,Hotel,property_type,Hotel5stellevic
5star|resort,Resort 5 stelle,Resort 5 stelle,Resort,Resort,property_type,Resort_5stelle
accessible,Hotel accessibile ai disabili,Hotel accessibili ai disabili,Hotel,Hotel,property_type,Hotelaccess
accommodation,Alloggio,Alloggi,Alloggio,Alloggi,property_type,Alloggio
accommodation|affordable,Alloggio a prezzi accessibili,Alloggi a prezzi accessibili,Alloggio,Alloggi,property_type,Alloggi_Prezacc
accommodation|airport,Alloggio,Alloggi,Alloggio,Alloggi,property_type,Allog_Aerop
accommodation|allinclusive,Alloggio all inclusive,Alloggi all inclusive,Alloggio,Alloggi,property_type,Allog_All_Incl
accommodation|bargain,Sconto sull'alloggio,Sconti sull'alloggio,Alloggio,Alloggi,property_type,Sconti_Allogg
accommodation|booking,Sistemazioni,Sistemazione,Sistemazioni,Sistemazione,property_type,Sistemazioni
accommodation|budget,Alloggio economico,Alloggi economici,Sistemazione,Sistemazioni,property_type,Allogg_Econ
accommodation|cheap,Sistemazione economica,Sistemazioni economiche,Sistemazione,Sistemazioni,property_type,Allog_Econ
accommodation|cheap|lastminute,Alloggio economico last-minute,Alloggi economici last-minute,Alloggio,Alloggi,property_type,AllogEconLampo
accommodation|cheapest,Alloggio più economico,Alloggi più economici,Alloggio,Alloggi,property_type,AlloggiPiùEcon
accommodation|coupon,Coupon sugli alloggi,Coupon sugli alloggi,Sistemazione,Sistemazioni,property_type,Coupon_Allog
accommodation|deal,Offerta sugli alloggi,Offerte sugli alloggi,Alloggio,Alloggi,property_type,OfferteAllog
accommodation|deal|lastminute,Offerta last minute sul soggiorno,Offerte last minute sul soggiorno,Sistemazione,Sistemazioni,property_type,OffLastMinSogg
