THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
default,호텔,호텔,,,property_type,
hotel,호텔,호텔,,,property_type,
motel,모텔,모텔,,,property_type,
cheap,저렴한,저렴한,,,property_type,
apartment,아파트,아파트,,,property_type,
airport,공항,공항,,,property_type,
luxury,고급,고급,,,property_type,
hostel,호스텔,호스텔,,,property_type,
resort,펜션,펜션,,,property_type,
2_star,2성,2성,,,property_type,
3_star,3성,3성,,,property_type,
4_star,4성,4성,,,property_type,
5_star,5성,5성,,,property_type,
spa,온천 호텔,온천 호텔,,,property_type,
capsule,캡슐,캡슐,,,property_type,
beach,비치 호텔,비치 호텔,,,property_type,
guesthouse,백팩커,백팩커,,,property_type,
korean a&b,민박,민박,,,property_type,
inn,여관,여관,,,property_type,
business,비지니스,비지니스,,,property_type,
