THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
default,飯店,飯店,,,property_type,
hotel,飯店,飯店,,,property_type,
cheap,平價飯店,平價飯店,,,property_type,
budget,經濟型飯店,經濟型飯店,,,property_type,
deal,飯店優惠,飯店優惠,,,property_type,
apartment,公寓,公寓,,,property_type,
downtown,市中心飯店,市中心飯店,,,property_type,
bandb,民宿,民宿,,,property_type,
condo,公寓,公寓,,,property_type,
luxury,豪華飯店,豪華飯店,,,property_type,
expensive,高檔飯店,高檔飯店,,,property_type,
mostexpensive,頂級飯店,頂級飯店,,,property_type,
hostel,青年旅舍,青年旅舍,,,property_type,
accommodation,住宿,住宿,,,property_type,
motel,汽車旅館,汽車旅館,,,property_type,
resort,度假村,度假村,,,property_type,
near,附近的飯店,附近的飯店,,,property_type,
onsen,溫泉飯店,溫泉飯店,,,property_type,
backpacker,背包客住宿,背包客住宿,,,property_type,
best,最佳飯店,最佳飯店,,,property_type,
5_star,五星級飯店,五星級飯店,,,property_type,
4_star,四星級飯店,四星級飯店,,,property_type,
3_star,三星級飯店,三星級飯店,,,property_type,
beach,海灘飯店,海灘飯店,,,property_type,
boutique,精品飯店,精品飯店,,,property_type,
familyfriendly,家庭式飯店,家庭式飯店,,,property_type,
pool,游泳池飯店,游泳池飯店,,,property_type,
